"Timestamp","Which language pair did you evaluate?","What is your experience in assessing machine translation outputs?","Which device did you use for annotations?","Please specify how much you agree or disagree with the following statements.  [Generally my experience was positive]","Please specify how much you agree or disagree with the following statements.  [Instructions were clear]","Please specify how much you agree or disagree with the following statements.  [Description of severity levels was clear]","Please specify how much you agree or disagree with the following statements.  [Description of quality levels was clear]","Please specify how much you agree or disagree with the following statements.  [Tutorial was helpful]","Please specify how much you agree or disagree with the following statements.  [Three severity levels were sufficient]","Please specify how much you agree or disagree with the following statements.  [Quality levels 0-10 were helpful to me]","Please specify how much you agree or disagree with the following statements.  [Automatic quality score was mostly accurate]","Please specify how much you agree or disagree with the following statements.  [It was clear how to mark missing translation fragments]","Please specify how much you agree or disagree with the following statements.  [I would like to be able to provide detailed comments per segment]","Please specify how much you agree or disagree with the following statements.  [Segments (rows) were too long]","Please specify how much you agree or disagree with the following statements.  [Document fragments (screens) were too long]","Please specify how much you agree or disagree with the following statements.  [I experienced technical issues]","Please provide more details related to the statements above that you think can be useful to us. What was most troublesome? What could we improve? What would you suggest rethinking in the evaluation method or the tool? ","What were the main or most common issues in the translated texts affecting translation quality? ","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [difficult/easy]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [stressful/relaxed]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [laborous/effortless]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [slow/fast]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [inefficient/efficient]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [complicated/simple]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [annoying/enjoyable]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [limiting/creative]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [impractical/practical]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [unclear/clear]","Did you encounter any technical issues or do you have any suggestions how to improve the User Interface for this task? Any feedback and ideas are welcome."
"2024/03/19 10:56:47 am EET","EN>DE","High: I evaluate machine translation regularly","PC or laptop","Disagree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Although technically all conditions were met, page would not validate and let me go through. Had to refresh and re-click all several times to make it go through","","-2 (negative)","-2 (negative)","-2 (negative)","-2 (negative)","0","-1","-2 (negative)","0","0","-1","The page formatting is problematic. Font size differences between source and destination are tiring. Also there's a need for a tool to help auto-highlight the corresponding counter-part (phrase / word / sentence?)in the other text when hovering over the counterpart. Otherwise you lose time re-reading entire paragraphs up and down to identify the wrong or missing words"
"2024/03/19 10:46:54 pm EET","German - English","High: I evaluate machine translation regularly","PC or laptop","Agree","Agree","Agree","Agree","Neutral","Strongly agree","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","N/A","Too long","+1","0","0","-1","0","+1","0","0","0","0","N/A"
"2024/03/20 12:13:18 am EET","English -> German","High: I evaluate machine translation regularly","PC or laptop","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Strongly disagree","Strongly disagree","Disagree","Disagree","Strongly agree","Agree","Agree","segments/texts much too long, need to be broken down to much smaller chunks; too many options for labelling (e.g. difference of when to use unintelligible vs. mistranslation not clear)","translation too literal or awkward","-1","-1","-1","-2 (negative)","0","-2 (negative)","-1","0","0","-1","highlighting text segments could be made easier; built-in timer doesn't work properly"
"2024/03/20 12:16:24 am EET","English to German","High: I evaluate machine translation regularly","PC or laptop","Agree","Strongly agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","In my point of vie It would be more helpful to be able to comment on the segments. I prefer to tell i.e. ""first sentence is missing/not translated"". The hovering with mouse (pink an purple) was kind of complicated and time consuming. ","Syntax, Grammar, right word but wrong context","-1","-1","-1","-1","0","-1","0","0","-1","0","After submitting and receiving the confirmation token, the displayed work time was wrong."
"2024/03/20 1:43:55 am EET","English - German","High: I evaluate machine translation regularly","PC or laptop","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Neutral","more exercises at the beginning","sometimes the translation becomes to complex with 20 lines to read","-1","-1","-2 (negative)","-2 (negative)","-1","0","0","0","0","0","The UI should become more userfriendly when you try to mark some words or whole sentenses"
"2024/03/20 5:14:56 am EET","German","High: I evaluate machine translation regularly","PC or laptop","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Text segments way too long","Irrelevent text inserts","+1","+1","+1","+1","+2 (positive)","+1","+1","+1","+1","+1","No"
"2024/03/20 9:40:13 am EET","English - German","Moderate: I have done it few times","Tablet","Agree","Agree","Neutral","Agree","Agree","Strongly agree","Strongly agree","Neutral","Agree","Strongly disagree","Strongly agree","Neutral","Strongly disagree","","","+1","+2 (positive)","+1","-1","+2 (positive)","+1","+1","0","0","+1",""
"2024/03/20 11:23:36 am EET","Engish-German","High: I evaluate machine translation regularly","PC or laptop","Disagree","Neutral","Agree","Agree","Neutral","Agree","Strongly agree","Neutral","Disagree","Neutral","Strongly agree","Strongly agree","Strongly disagree","The segments should be shorter.","Missing texts.","0","0","0","0","0","-1","-1","0","-1","-1","No, it was ok."
"2024/03/20 4:50:43 pm EET","English-German","Moderate: I have done it few times","PC or laptop","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Neutral","Strongly agree","Neutral","Neutral","Neutral","Strongly disagree","","","+2 (positive)","+2 (positive)","+2 (positive)","0","+2 (positive)","+1","+1","+1","+1","+2 (positive)",""
"2024/03/21 12:31:26 am EET","English to German","High: I evaluate machine translation regularly","PC or laptop","Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Agree","Disagree","Disagree","Segments were sometimes just too long and one gets lost somewhere around the middle. It would be nice if they could be at most 5 sentences long.","Additional or missing parts of the text, awkward expressions in German, sometimes literally translated from English.","+1","0","-1","-1","+1","+1","0","+1","0","+2 (positive)","No. All was clear and easy to understand."
"2024/03/21 4:49:40 am EET","English - German","High: I evaluate machine translation regularly","PC or laptop","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Mostly the segments were too long - even at 75% screen zoom the English source and German translation did not fit on my screen. It would be great, if the English and German text could be next to each other in columns instead of rows.","mostly repeats","+2 (positive)","+1","+1","0","+1","+1","+2 (positive)","+2 (positive)","+2 (positive)","+2 (positive)","No technical issues except for slow uploading sometimes, but the deselecting of highlighted text sometimes did not work"
"2024/03/21 11:54:02 am EET","German","Moderate: I have done it few times","Mobile device","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Agree","Agree","","","+1","0","+1","0","+1","+2 (positive)","+2 (positive)","+2 (positive)","+1","+2 (positive)",""
"2024/03/21 12:09:42 pm EET","engdeu","High: I evaluate machine translation regularly","PC or laptop","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Agree","Agree","Strongly disagree","Strongly disagree","Some document fragments were so long. Over 10 lines and when they were very wrong it was just a mess.","Grammar error / missing text / additional sentences that were not in the source text.","+1","+1","0","0","+2 (positive)","+1","+2 (positive)","+1","+1","+2 (positive)",""
"2024/03/21 2:03:11 pm EET","English -> German","Moderate: I have done it few times","PC or laptop","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Strongly agree","Disagree","Strongly disagree","","","0","-1","-1","-1","0","-1","-2 (negative)","0","+1","+1",""
"2024/03/21 4:51:48 pm EET","English-German","High: I evaluate machine translation regularly","PC or laptop","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Neutral","Agree","Strongly disagree","Disagree","Strongly agree","Strongly agree","1) The highlighting function did not work throughout the task, so I was unable to do this part of the task.  2) The task could have taken many hours to complete had I been able to highlight the errors as the texts were almost unintelligible and error-ridden. 3) The texts were also too long. 4) The annotation of errors would prolong the length of the task even further.  
","Unintelligibility of the source text, length of the source text, the target text often summarised the source text in part.","+2 (positive)","+2 (positive)","-2 (negative)","+2 (positive)","+2 (positive)","+2 (positive)","+2 (positive)","0","+2 (positive)","+2 (positive)","Yes, I  experienced severe technical faults from start to finish and due to these, I was not able to complete the task properly. I was not able to use the highlight mark-up at all.  For the most part the ""missing"" button also failed to highlight too. "
"2024/03/21 5:09:14 pm EET","EN->DE","High: I evaluate machine translation regularly","PC or laptop","Agree","Strongly agree","Agree","Neutral","Strongly agree","Disagree","Strongly agree","Neutral","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","While the 3-level assessment may work well for a single sentence, it is definjitely not sufficient for longer document-type texts. This is where I typically used the standard 10-level assessment. The highlighting toggle triggered by the mouse click (NO HIGHLIGHT->MINOR ERROR->MAJOR ERROR>NO HIGHLIGHT) was not obvious at all. Untfortunately it has not been mentioned in the guideline. Pre-assessment offered by the customer was at the beginning a challenge, later on I realized that it should just be removed and this is where my assessment can begin. 
","Occasional lengthy texts, usage of transcript texts, frequent usage of English words/terms in German texts","+1","+2 (positive)","+1","0","+1","+1","+1","+2 (positive)","+1","+1","A tool improvement I can think of is an option to mark missing words/phrases in the source text. "
"2024/03/21 5:37:37 pm EET","English - German","Moderate: I have done it few times","PC or laptop","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Disagree","-","Minor mistakes or weird input data (I would call it sloppy English).","-2 (negative)","-2 (negative)","-2 (negative)","-2 (negative)","0","-2 (negative)","-2 (negative)","0","0","+1","-"
"2024/03/21 8:24:33 pm EET","English â†’ German (Deutsch)","Moderate: I have done it few times","PC or laptop","Agree","Neutral","Neutral","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Strongly agree","Strongly agree","Disagree","I really enjoyed the method, but it was unclear how much I could trust the marked errors (how they were marked, by who, etc).","Missing parts.","+1","+2 (positive)","+1","+2 (positive)","+2 (positive)","+2 (positive)","+2 (positive)","0","+2 (positive)","+1","No technical issues. I would like more information on the method itself, since it was my first time working with it."
"2024/03/21 9:39:24 pm EET","English German","Moderate: I have done it few times","PC or laptop","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Disagree","Agree","Agree","Disagree","","Some Texts were Too long","+1","0","+2 (positive)","0","0","+1","0","0","0","0","no"
"2024/03/21 11:11:01 pm EET","ENGLISH-GERMAN","High: I evaluate machine translation regularly","PC or laptop","Agree","Disagree","Strongly agree","Agree","Disagree","Strongly agree","Agree","Neutral","Disagree","Strongly disagree","Agree","Strongly agree","Strongly disagree","More examples in the tutorial. Especially how to deal better with missing parts.","mistranslation, additions and omissions of text and to lesser extend punctuation.","0","0","-1","-1","0","-1","+1","-1","0","0","More examples in the tutorial. Several aspects have not been explained well"
"2024/03/22 1:50:38 am EET","English - Geramn","High: I evaluate machine translation regularly","PC or laptop","Neutral","Agree","Agree","Agree","Strongly agree","Neutral","Neutral","Neutral","Neutral","Strongly agree","Agree","Strongly agree","Strongly agree","The menu for identifying the type of mistake is not practical. You should be able to move forward or backward in it and not have to exit and start again if you went into a wrong heading.","1) Sentences from other a text repeated in another text. This is difficult to mark, since it it could be seen as a mistranslation or an addition,etc.  2) wrong translations of words and expressions (idioms)  3) Grammar issues (confusion of genders; missing prepositions)","0","0","-2 (negative)","-1","0","0","0","0","-1","-2 (negative)","Let one recommend a correct translation"
"2024/03/23 4:57:50 pm EET","English-German","High: I evaluate machine translation regularly","PC or laptop","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Agree","Strongly agree","Strongly disagree","Too long fragments.","Untranslated parts.","0","-1","-1","0","+1","-1","0","+1","0","0","-"
"2024/03/25 7:03:47 pm EET","eng-deu","High: I evaluate machine translation regularly","PC or laptop","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Disagree","some phrases were very long but I think you took that into account by rewarding double counts","some very long sentences, maybe splitting it into 2-3 shorter sentences would have been easier to read and evaluate","+1","-1","-1","-1","+1","0","+1","+1","-1","+2 (positive)",""
